,AAPL,AMZN,GOOGL,MSFT
1980-12-12,0.0991,,,
1980-12-15,0.0939,,,
1980-12-16,0.087,,,
1980-12-17,0.0892,,,
1980-12-18,0.0918,,,
1980-12-19,0.0974,,,
1980-12-22,0.1021,,,
1980-12-23,0.1064,,,
1980-12-24,0.112,,,
1980-12-26,0.1223,,,
1980-12-29,0.1241,,,
1980-12-30,0.121,,,
1980-12-31,0.1176,,,
1981-01-02,0.1189,,,
1981-01-05,0.1163,,,
1981-01-06,0.1111,,,
1981-01-07,0.1064,,,
1981-01-08,0.1043,,,
1981-01-09,0.1099,,,
1981-01-12,0.109,,,
1981-01-13,0.1051,,,
1981-01-14,0.1056,,,
1981-01-15,0.1077,,,
1981-01-16,0.1068,,,
1981-01-19,0.1133,,,
1981-01-20,0.1099,,,
1981-01-21,0.112,,,
1981-01-22,0.1133,,,
1981-01-23,0.1129,,,
1981-01-26,0.1111,,,
1981-01-27,0.1103,,,
1981-01-28,0.1068,,,
1981-01-29,0.1029,,,
1981-01-30,0.0974,,,
1981-02-02,0.0918,,,
1981-02-03,0.0952,,,
1981-02-04,0.0986,,,
1981-02-05,0.0986,,,
1981-02-06,0.0991,,,
1981-02-09,0.0939,,,
1981-02-10,0.0939,,,
1981-02-11,0.0909,,,
1981-02-12,0.0901,,,
1981-02-13,0.0879,,,
1981-02-17,0.0901,,,
1981-02-18,0.0939,,,
1981-02-19,0.0883,,,
1981-02-20,0.0836,,,
1981-02-23,0.0848,,,
1981-02-24,0.0819,,,
1981-02-25,0.087,,,
1981-02-26,0.0883,,,
1981-02-27,0.0913,,,
1981-03-02,0.0918,,,
1981-03-03,0.0905,,,
1981-03-04,0.0896,,,
1981-03-05,0.0892,,,
1981-03-06,0.0883,,,
1981-03-09,0.0814,,,
1981-03-10,0.0775,,,
1981-03-11,0.0745,,,
1981-03-12,0.0775,,,
1981-03-13,0.0767,,,
1981-03-16,0.0797,,,
1981-03-17,0.0836,,,
1981-03-18,0.0887,,,
1981-03-19,0.0879,,,
1981-03-20,0.0887,,,
1981-03-23,0.0922,,,
1981-03-24,0.0918,,,
1981-03-25,0.0901,,,
1981-03-26,0.0883,,,
1981-03-27,0.0853,,,
1981-03-30,0.0853,,,
1981-03-31,0.0844,,,
1981-04-01,0.0836,,,
1981-04-02,0.0909,,,
1981-04-03,0.0913,,,
1981-04-06,0.0896,,,
1981-04-07,0.0887,,,
1981-04-08,0.0931,,,
1981-04-09,0.0948,,,
1981-04-10,0.0961,,,
1981-04-13,0.0961,,,
1981-04-14,0.0961,,,
1981-04-15,0.0913,,,
1981-04-16,0.0862,,,
1981-04-20,0.0887,,,
1981-04-21,0.0948,,,
1981-04-22,0.0982,,,
1981-04-23,0.1008,,,
1981-04-24,0.0999,,,
1981-04-27,0.0991,,,
1981-04-28,0.0974,,,
1981-04-29,0.0961,,,
1981-04-30,0.0978,,,
1981-05-01,0.0978,,,
1981-05-04,0.0974,,,
1981-05-05,0.0969,,,
1981-05-06,0.0944,,,
1981-05-07,0.0956,,,
1981-05-08,0.0965,,,
1981-05-11,0.0944,,,
1981-05-12,0.0944,,,
1981-05-13,0.0939,,,
1981-05-14,0.0926,,,
1981-05-15,0.0948,,,
1981-05-18,0.0965,,,
1981-05-19,0.0948,,,
1981-05-20,0.0978,,,
1981-05-21,0.1034,,,
1981-05-22,0.1081,,,
1981-05-26,0.1077,,,
1981-05-27,0.1137,,,
1981-05-28,0.1137,,,
1981-05-29,0.1142,,,
1981-06-01,0.1142,,,
1981-06-02,0.1086,,,
1981-06-03,0.1086,,,
1981-06-04,0.1107,,,
1981-06-05,0.109,,,
1981-06-08,0.1051,,,
1981-06-09,0.1073,,,
1981-06-10,0.1086,,,
1981-06-11,0.1133,,,
1981-06-12,0.112,,,
1981-06-15,0.1116,,,
1981-06-16,0.1094,,,
1981-06-17,0.1077,,,
1981-06-18,0.1073,,,
1981-06-19,0.1043,,,
1981-06-22,0.1004,,,
1981-06-23,0.1021,,,
1981-06-24,0.0995,,,
1981-06-25,0.1017,,,
1981-06-26,0.1004,,,
1981-06-29,0.0969,,,
1981-06-30,0.0896,,,
1981-07-01,0.0887,,,
1981-07-02,0.0887,,,
1981-07-06,0.0857,,,
1981-07-07,0.0866,,,
1981-07-08,0.0901,,,
1981-07-09,0.0831,,,
1981-07-10,0.0767,,,
1981-07-13,0.0784,,,
1981-07-14,0.0819,,,
1981-07-15,0.084,,,
1981-07-16,0.0862,,,
1981-07-17,0.0892,,,
1981-07-20,0.0831,,,
1981-07-21,0.0827,,,
1981-07-22,0.078,,,
1981-07-23,0.0801,,,
1981-07-24,0.0827,,,
1981-07-27,0.0862,,,
1981-07-28,0.0831,,,
1981-07-29,0.0819,,,
1981-07-30,0.0848,,,
1981-07-31,0.0862,,,
1981-08-03,0.0853,,,
1981-08-04,0.0866,,,
1981-08-05,0.0892,,,
1981-08-06,0.087,,,
1981-08-07,0.087,,,
1981-08-11,0.0844,,,
1981-08-12,0.0827,,,
1981-08-13,0.0801,,,
1981-08-14,0.0788,,,
1981-08-17,0.0763,,,
1981-08-18,0.0745,,,
1981-08-19,0.0737,,,
1981-08-20,0.0745,,,
1981-08-21,0.0694,,,
1981-08-24,0.065,,,
1981-08-25,0.0668,,,
1981-08-26,0.0655,,,
1981-08-27,0.0659,,,
1981-08-28,0.0694,,,
1981-08-31,0.0694,,,
1981-09-01,0.0737,,,
1981-09-02,0.075,,,
1981-09-03,0.0711,,,
1981-09-04,0.0702,,,
1981-09-08,0.0681,,,
1981-09-09,0.0681,,,
1981-09-10,0.0685,,,
1981-09-11,0.0677,,,
1981-09-14,0.0655,,,
1981-09-15,0.0638,,,
